Comment,Sentiment;;
i love the direction this channel is going most tech channels even the best trusted ones are going to review products based on their own experience or at most some things they can measure with their pc but youre really going to mathematically demonstrate if a product is a quality one and why it is love it,positive;;
i am more excited for the ltt lab than i have been for a lot of content for a while now as everyone seems to be saying its exciting to see how enthusiastic this new crew is to get things running,positive;;
i adore the working relationship linus has with his team 99 of employees walk on eggshells around their boss and i wish it could be more like this,positive;;
lmgs growth is honestly something to truly aspire for this is the content we want to watch more technical in depth engineering oriented and sciencebased content will make us consumers much much more educated on these topics thus when picking a product not only will we pick the best choice but well know exactly why we picked it which helps greatly with buyers remorse,positive;;
i love all the people ltt has added for labs clearly theyre knowledgeable and passionate about tech labs is gonna be killer love it,positive;;
linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face ,positive;;
dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,positive;;
dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,positive;;
linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,positive;;
linus this is not a table also linus lets use this as a chair,neutral;;
dan the man saving the day riley needs to give him his own theme like brian the electrician,positive;;
dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,positive;;
dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,positive;;
blows my mind how quickly dan became the rock upon which all things linus standslove it,positive;;
hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,positive;;
unstoppable experiments with liquid nitrogen ,positive;;
one of the best things about dude is that he never takes credit for himself wheb he achieves something he always respect us the audience and his team and he is always polite is all of his videos we congratulate ourselves on this achievement more to come and everything to,positive;;
liquid nitrogen ഇതുവരെ തീർന്നില്ലേ മച്ചാനെ,neutral;;
liquid nitrogen never ends m4tech poli,positive;;
29minutes 48k views 93k likes  that is the power of m4tech,positive;;
 കേരളത്തിൽ ആദ്യമായി പെട്രോളിനെ എയ്സ് ആക്കിയ m4tech മച്ചാന്മാർ ,neutral;;
epozhum safety is first priority goggles on,positive;;
congratulations m4tech for achieving 8 million subscribers,positive;;
തന്നെ തളർത്താൻ നോക്കിയവർ പോലും അവന്റെ ഉയർച്ചയിൽ പകച്ച് നിന്നു പോയി  കഷ്ടപ്പാടും അദ്ധ്വാനവുംകൊണ്ട് 2 പേർ പടുത്തുയർത്തിയ ചാനൽ m4 tech ,neutral;;
എത്ര എടുത്താലും തീരാത്ത liquid nitrogen ,neutral;;
guys a quick note that you do not need all the highend tech in order to do well at college if you can and you should save as much money as you can while at college pay your tuition in full and student loans as soon as possible instead of spending on liabilities like gadgets get the bare minimum you need and only spend money on products you know you are going to be using for 46 years such as laptop dont overspend on phone headphones lamps tablets etc,neutral;;
this is hilarious i was in a focus group over 4 years ago for best buy where they were asking college students how to advertise for back to school one of the kids next to me said maybe you should have someone like mkbhd talk about your products well here we are,neutral;;
everyone has been saying it but i’ll throw my hat in as well to any prospective college students you do not need to spend money on flagship products i am about to graduate with a business degree and have been using a 7 year old laptop and the base ipad from late 2020 both products have worked flawlessly and i have no intention of replacing them the recommendations listed are ones i would never be able to afford even with my job i’m working as well do your own research on forums to see what your peers say the best value product is i promise that if you buy a flagship product you will quickly see that you did not need it,positive;;
shoutout to my oneplus phone and huawei laptop for getting me through university feeling premium for much less bonus ups for ikeas articulating lamps 20 and i can see all my homework incredibly well without eye strain the old door i refinished to use as a desktop and wired earbuds under hardware store earmuffs as my noisecancelling headphones and the same 2 sets of hanes underwear from target for also lasting the whole ride,positive;;
best buy we want to sponsor a back to school type video but you can only push the high end stuff marques say less,neutral;;
most of the items you recommend are pretty pricey for a student im not a student myself anymore but if i were one more budget alternatives would make this video a lot better,neutral;;
you dont necessarily need the highend and latest tech for university i used a 2009 macbook pro throughout my years at uni had an iphone 6 and it worked out just fine whats important is to remain focused on getting that degree and graduating,positive;;
personally i feel like this is really out of touch most students wont be able to afford these in case anyone needs it i believe dave2ds back to school video are honestly the best ones ive seen on the topic consider checking them out too before making a purchase decision,positive;;
hey everyone good take on the video and love the recommendations if you plan on making another video such as this maybe you can also include some more budget options and best value options what i can tell from my years of studying in college and university is that your tech and needs will be based on what coursesprogramme you took for your education engineering students require computer specs that can run bim software im not sure about the other programmes but from what i can see that most students at my place has 8gb of ram for their laptops also here is my setup during my university years hope it can help anyone who are looking to buy something for their collegeuniversity years all the best laptop asus x455l upgraded to ssd with additional ram phone vivo y69redmi 10samsung a22 4g mouse logitech g102 keyboard tecware tkl ver,positive;;
i have used galaxy tab s7 during my phd its been a lifesaver for me first of all it is really good for reading journals note taking and scribbling on the pdfs secondly it doesnt strain your eye that much when you use a computer or a laptop always at a fixed distance thirdly you get the premium version of noteshelf free with tab s7 and lastly if you are from a stem background and use a lot of illustrations or flow process diagrams you can draw those easily with the stylus on tab s7 i choose tab s7 over apple ipad air for its ease of use user interface and cost you get stylus for free with tab s7 and in most cases keyboard too with a huge student discount,positive;;
when he says hes a 400 year old beer wizard i believe him,neutral;;
this series is exactly what career day shouldve been such interesting and knowledgeable people,positive;;
regarding cans vs bottles at least in germany the bottle is more environmentally friendly since they get used again and again you bring the empty bottles to the local grocery shop they then get sent to a cleaning plant where they pressurewash the bottles inside and out with steaming hot water afterwards they get reused for beer the size and shape of most bottles is according to a standard so different brewers use the same bottles its far less energy intense than smelting and remanufacturing cans,neutral;;
how does every person wired brings on this show act like theyve been in front of cameras 5000 times,negative;;
idk who’s picking these people but give them a raise,neutral;;
his face when describing hops killed me “some of them smell pretty… dank “,negative;;
seasoned craft brewery tour guide here and i’m so glad he ended on “drink what you like” sometimes people get weirdly judgmental about the beer preferences of others at the end of the day there are hundreds of beer styles for a reason so everyone can find at least one style they actually like,positive;;
this guy is a total bro not snobby at all and just wants people to enjoy beer in whatever way they want such a contrast with your stereotypical beverage elitists,positive;;
y’all be picking the literal best professionals for these videos not only is everyone knowledgeable but they all seem passionate and eager to teach us,positive;;
this guy has a face made for movies a voice made for radio and a great personality i wanna see more of garrett,positive;;
whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,negative;;
i live for johns roasts of att,positive;;
mad respect to john oliver and his team for not making us watch ads during the show major props,positive;;
one important aspect im surprised was left out is that many of these companies like amazon literally power the internet almost 30 of the websites on the internet are stored on amazon servers giving them even more access to data trends and physical control over the internet,positive;;
shout to you john oliver for giving me a brief trip down memory lane ive been in the telecommunications industry for almost 25 years and my first job was atmci great company that got swallowed up in a horrible merger with worldcom bing it and see how that disaster played out,neutral;;
back in 2018 when john oliver did the episode on corporate consolidation it inspired me so much that i applied for a masters of research program got into a program and did my entire research thesis on tech oligopolies it was shocking to see how bad it really is oligopolies that bordered in monopolies are rampant my research essentially focused on the question of whether lack of enforcement of our antitrust laws caused this whole problem or whether lack of adequate laws were the core of the issue the answer was that it was truly both i thoroughly enjoyed my predoctoral masters thesis and am considering a phd in the future its so lovely to see john talk about this specifically on the tech sector edit wow thanks everyone for the great comments i havent published it yet otherwise i would share it with all you lovely people  i am now looking for a policy or qualitative researchanalyst job so if anyone is hiring let me know ,negative;;
john oliver deserves an oscar for his can dolphins love you monologue,positive;;
i would love to see these bills live i live in a country where we had one company try and rule the internet charging outrageous prices for it they had specifically bought the copper network to do it the government of nz denied that as a defense as they were monopolising it and forced them to open up suddenly it turned out it didnt cost 300 to connect to unlimited internet you could get that for 80,neutral;;
hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,negative;;
points that were missed apple arguably has a specific monopoly in the us with smartphones because of imessage not being open with other multiplatform messaging apps this weirdly only applies in the states the rest of the world favours things like whatsapp and facebook messenger both owned by meta which is its own issue thats probably the main defence apple will bring up theyve been in trouble before but dont forget about microsoft windows 11 has seen them go back to some of their old tricks like a favouring their own software and making it difficult to remove this kind of got glossed over but although google play takes the same cut for purchases as apple you are free to install other app stores and install apps from wherever you like so they avoid the heat there google play is still the most preferred store on android phones so google likely takes advantage of that fact in promoting its own software,neutral;;
hey hey just a heads up i did turn the led hoodie on its just not very bright hen youre looking faceon at it you can still sort of see it on around the hood area though  if you had fun on this video heres my collection of extreme unboxing videos,positive;;
the safety belt wouldve paired perfectly with the unicycle and those roller boot things,positive;;
that was seriously the most enjoyable thing ive seen in awhile i forgot how rad this channel is well done sir,positive;;
dude i love how genuine your reactions were ive had fun watching this and not only i was really interested to see what each one of those gadgets did,positive;;
infinity dodecahedrons are seriously cool i bought another smaller one and i really enjoy it its definitely an eye catcher and a conversation starter,positive;;
i personally enjoy the old school phones i have such a hard time hearing my iphone at max volume without the speaker on if i worked in an office i would definitely buy one people forget how ergonomic those old phones are its not particularly comfortable holding a rectangle to your head i also have physically sensitive ears so any type of headphones ear phones whatever cause me a bunch of pain looks like a good product that can both be a gag and something for people out there like me who have a tough time using a regular mobile phone,positive;;
the fact he didnt buy the nicholas cage spoon is outrageous,negative;;
i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger ,positive;;
i havent laughed like this for years oh my gosh arun youve nailed this one wendi ,positive;;
quality quality quality is everything about this channel arun makes my mood happier video after video lets be searious the best part about this channel is arun making his jokes and when he shows tech,positive;;
15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing 1939,neutral;;
if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,neutral;;
as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,negative;;
715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,neutral;;
selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,neutral;;
ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,neutral;;
the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,positive;;
id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,positive;;
i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,negative;;
i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,positive;;
i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,neutral;;
i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,negative;;
she has a very effective way of delivering information in a way that is accessible love her,positive;;
if the lead singer is bret michaels then im sure it is poison that had me laughing for ages ,positive;;
anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,positive;;
poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,positive;;
my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,negative;;
my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,negative;;
i love how she says that it is poison in the right dose instead of the wrong dose,positive;;
my husband got sun poisoning last year all the symptoms you described it was not fun he said his sick were he got burned felt tight for a few months after luckily he is a nurse and he was able to give me advice on how to help him in his recovery,negative;;
the monitor looks pretty average size until marques reaches his whole extended arm towards it and points out the 27” screen size and suddenly you realize… it’s a 55” monitor ,neutral;;
marques does a fantastic job highlighting the features of the link if youre looking for the next level of webcam look no further  dope tech dope video,positive;;
the camera is amazing and there are so many people who could benefit from it a lot,positive;;
i’ve been playing with the insta360 link for about a week now as a college professor and edtech trainer i can tell you that this is a complete game changer for online and hybrid teaching switching from follow mode to whiteboard mode to topdown mode for demos etc is a purely magical experience,positive;;
i honestly have to say while its still insanely expensive 3500 for that monitor isnt as bad as i was expecting and its almost reasonable like its still more than i would ever spend on a single display and im far more into having separate displays but given what its capable of the specs the tech behind it etc its not that bad i can see a few people getting real use out of something like that,positive;;
imagine losing the cursor on that screen and trying to find it ,negative;;
this monitor is perfect for streaming three 27“ monitors in one is amazing  but man is it expensive ,positive;;
i can see this being good for editing and streaming reading the chat and playing the game on one screen this is genius,positive;;
geez i need a dedicated studio for all of this dope tech in my future,positive;;
this has gotta be one of the best dope techs everything here is a hit that i’m def writing down for later,positive;;
i’m always looking forward to these every month so thank you for making them honestly that little lamp and speaker caught my eye the flickering is really cool to me and the speaker is a nice extra,positive;;
the sound test killed me that was hilarious and the wrist rest is brilliant i often get marks on my wrist from my mousepad,positive;;
what a tough selection this month whether it be the soundbar the lamp speaker or even the pc panel display they all seem something that would really improve my set up but for me it may have to be the soundbar one looks smart has nice rgb and a decent size and price very good month of tech this month,positive;;
i absolutely love this series all of the items were neat but the only one i would actually benefit from would be the chair wheels i have a regular office chair that has to roll on carpet and it is kind of a pain,positive;;
that sensor panel is definitely convenient been wanting to make my own with a raspberry pi but just find myself getting off track super cool to just be able to purchase and go,positive;;
the rgb sound bar would be perfect for my setup i’ve been using the speakers in my monitor as my main sound system so it would be a nice upgrade for me,positive;;
i always love franks energy i also look forward to the end of every month thinking about this series i love the tiltednation soundbar and i need that for my set up,positive;;
always great to see this series so many cool things this month my office setup could use those chair wheels,positive;;
this series has helped me and my friends find some helpful tech that has helped our setups the pc panel is gonna be a huge upgrade,positive;;
we need the under 100 for august as well this is the best series out there,positive;;
one really important point those ionizers can produce potentially dangerous levels of ozone due to the negative ions they create in the air id be cautious of all air ionizers unless they are advertised specifically as bipolar ionizers the one that you recommended does produce ozone which can be very harmful,negative;;
been a good while since ive been a student but i still watched the vid to find out what cool gadgets are out there didnt think id be walking away from it with a productivity tip that idea of the simple timer is so good instead of devices that can also do time great vid frank,positive;;
the desktop lamp is definitely my favorite it’s also something i’ve been looking for because i updated to a keyboard that doesn’t have shine through keycaps so it’s definitely a need too,positive;;
i’m not a student however i always love seeing the tech always looking to change and upgrade my desk setup for work,positive;;
fantastic video frank you always bring really cool stuff to the front that most of us havent seenheard anything about hope you and the fam are doing well xd btw that kb for only 100 i know theyve gotten a lot cheaper but hot damn i dont need it but i want it lol my biggest complaint with 60 kbs is the lack of arrow keys and this has those and looks super sleek with those colors love it take care man,positive;;
ugh hate when my summer holidays end at least you brighten my mood with this top tech series thanks,positive;;
the forest app is a phone based timer app basically you set a timer for however long you want to be focused for at the beginning it will plant a virtual tree in the app if you leave the forest app at all it will kill your tree,neutral;;
awesome variety of products i also like that you had more than five or six items love the budget finds ,positive;;
you missed a feature on the airbolt instead of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches,negative;;
its so crazy to me ive watched you all the way through middle school till college now over six years and youve grown so much keep working big man reguardless of your age middle school highschool collegeuniversity we gotchu covered,positive;;
 for all the coffee lovers don’t forget to check out cometeer and save 20 on your first order   watch best gifts under 20,positive;;
the kablecard is by far my favorite item on this list when i first saw you have it on the channel i immediately bought it so easy to carry and being able to charge anything with it is great,positive;;
i just wanted to say thank you for making such amazing content we notice all the hard work you do and appreciate it so much,positive;;
as a specialty coffee lover those cometeer pods are amazing if i didnt enjoy the long process it takes to brew a fresh cup of coffee id 100 buy them all the time,positive;;
i wasn’t prepared for the immediate start lol,negative;;
thanks for consistently providing great videos every time i purchase a new device i come to your channel to find out the best products for it,positive;;
love these accessories you always make great videos,positive;;
love your videos i really hope one day you make a worksite edc like for construction workers or electricians much love,positive;;
love watching your videos just waiting for that best accessories for pixel 6 video,positive;;
love your vids mankeep up the good work,positive;;
be careful with the katchy they are known to start smoking at the top so possible fire hazard its possible that this issue could have been fixed with the newer models but just giving you a heads up great video,positive;;
am i the only one that actually watches these with snacks and drinks  been here since 1 ,positive;;
gotta let your son pick some boxes now he’s old enough to point one out start him in the family business early ,positive;;
i love all the interactions and laughs with everyone in this video personally i think j picked the best tech,positive;;
okay j that 130 was definitely worth it i might get me one a good buy for a traveling tech head,positive;;
still the best series to watch while indulging in a meal cant believe its already the 47th video,positive;;
i absolutely love your wife’s expressions when she’s interacting with you another gundam play games with you giggle… cracks me up,positive;;
thanks for the heads up about grover im a tech reviewer and had never heard of it could be a really nice way for me to get my hands on some items to review very appreciated,positive;;
i love you guys i hope you know that  you guys brighten my day with these massive tech unboxing videos,positive;;
the whole idea of the interchangeable battery to keep going of the steel series is exactly the reason why xbox still uses aa batteries for their controllers i think is in an undervalued decision from xbox,negative;;
in my experience burnout comes from realizing that improved performance doesnt produce improved rewards it produces more work the response to a job well done is never a couple days off or a timely bonus instead good work is rewarded with the demand for twice as much work in the same amount of time firms see young workers as a productivity sponge to be squeezed for all its worth young people are almost never treated as the companys future,negative;;
i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,negative;;
i think the pandemic has taught people the importance of multiple streams of income unfortunately having a job doesn’t mean security,negative;;
successful people dont become that way overnight what most people see at a glance wealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,positive;;
as someone who used to work 80 hours a week quitting my job to become a freelancer was the best thing i have ever done sure i still work a lot of hours and often close to 7080 hrs a week i feel like i am doing this for myself and not some corporation,positive;;
i have a high paying tech job that i’m about to leave i feel incredibly blessed and privileged to have had it even though i worked hard to get to where i am i was promoted very fast after 5 years i know it’s something many people would love to have and honestly i’m happy that someone else who has worked hard will get my spot ultimately i became burnt out and just need some time to reset my life i have lived humbly saved every thing i could paid off debts as quickly as possible and have enough to live for 8 months to a year i’m hoping to come back into the industry as a healthier employee or have found something else fulfilling for anyone wishing they had one of these jobs or feel frustrated by people that appear to be complaining i hope you achieve your dream and get one you can do it keep at it taking one of these jobs to be financially secure is a blessing i am taking a break because my mental health and stress hospitalized me don’t let that scare you i just have my own personal stuff too ,positive;;
i’m a software developer i understand the struggle but us tech workers should count our lucky stars we are very privileged to be where we are most jobs outside of tech have less perks much lower pay and more stress i am grateful everyday to be in this field once i accumulate enough wealth to purchase my freedom i’ll see myself out maybe in the meantime i will run the race as long as i have to,positive;;
the thing is if you give someone all of these perks and a flexible schedule you need to also give them the freedom to use that flexibility you must make it clear that the company expects you to take down time and you will not be frowned upon either officially or unofficially leadership needs to model that behavior by taking time off and making sure everyone knows theyre taking time off this also empowers your teams letting them know that you trust them to work without constantly staring over their shoulders,positive;;
compare that to physicians only 42 said they were burned out yes indeed a perfectly acceptable percentage,positive;;
i worked a low paying tech job for six years and still felt the burn out the problem is that tech is very fast paced and competition focused you can barely keep up though i got promoted regularly my higher ups told me the truth before they left they said that i was severely underpaid based on my skills essentially i branded myself a one stop shop for the marketing department as i am both technically knowledgeable people oriented and strategic i maxed out at 50k so i decided to jump ship with little planned now i run a financial agency with my husband and we make 250k a year as entrepreneurs and we have the freedom to set our own lifestyle,negative;;
stratosfera acquatica 000 inmo air 125 shine 223 crown 315 meural canvas ii 407 octav 502 atmos 548 wyn bullet 632 splach transformer 706 squeaky clean feet 754,neutral;;
that boat pod looks a lot like a saiyan space capsule… i need one lol,positive;;
those window breakers seems like an easy way to rob someone’s car,negative;;
ok cool the ball boat my question is how do you launch it traditional boats come off a trailer when you dip them in the water looks to me as if you need a crane for the ball boat,neutral;;
anyone else notice how much the wyn bullet resembles a firing pin if you have ever built your own firearms you know the time and effort that goes into a firing pin with all of heating and cooling it takes to harden the steel and how easy it is to over harden the firing pin and no its not feasible to soften a over hardened firing pin,neutral;;
i would love the glasses and the digital artwork frame,positive;;
that canvas one wouldn’t be a bad price if you didn’t have to pay for a monthly membership ,neutral;;
cool ,positive;;
nice i love it,positive;;
damn the mueral canvas is nice too pricey,negative;;
if you could limit your products to things that are available retail it would be awesome kickstarter and indiegogo etc dont count too many scams and failed products and no protections,negative;;
from all the stuff mentioned i have the dji mic amazing recording device,positive;;
this guy must be the richest youtuber i hear his voice on most tech channel ,positive;;
from all the stuff mentioned i have the dji mic amazing recording device,positive;;
that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace do you really think that the alarm feature would deter a thief from simply knocking the device to the floor pick up the laptop and perhaps step on the alarm and crush it in a moment of disdain by the time you get back with your latte after your phone notifies you of your impending bad luck your laptop will be off on an extended trip,negative;;
that cable organiser would be incredible in my dorm room,positive;;
the trene control alarm will not deter someone who really wants it they will just knock that gadget off and run with your property,negative;;
for anyone considering the vaultek lifepod 300 there is a video on the lockpickinglawyer channel where he opens the safe with a fork dont waste your money,neutral;;
enjoyed your video and i gave it a thumbs up,positive;;
i like the engraver but when i went to check price i found it was just a kickstarter,neutral;;
i spent hours researching dash cams a year or so ago and it’s almost maddening how awful sparse and misrepresented information on dash cams is i was totally surprised how under developed they are this is a video that is really necessary,negative;;
vids like these are definitely a service for looking out for everyone to avoid buying crap and hype in dashcams well done in the research thanks ltt,positive;;
a favourite trick is to upscale a low resolution image before applying the compression that way they get to claim a higher resolution on the box ive analysed a few of these now,neutral;;
i did not expect to love this video as much as i did it epitomizes the very best of youtube in my opinion a wellmade video with a wellconstructed narrative hosted flawlessly and provides a genuinely good service to everyone even if they are not in the market for these products love your work ltt team,positive;;
thank you linus for spending the big bucks and testing all these cameras for our benefit i will be keeping your recommendations in mind when i purchase my camera,positive;;
this is the kind of content that we need calling out trash markets and helping people find honest answers doing the sidebyside comparisons they cant do thanks for this glad to know the rove r24k i got as a gift is not far from really the peak in the market and is good enough if not overpriced a bit,positive;;
yup its amazing though how the market then changes brands for each country in germany we have an entirely different line of knockoff chinese brands which ultimately look alike same goes for the australian american market i am kinda stoked to see though what sort of dashcams are actually used within south korea japan if anybody could give a hint to that i mean surely they must have great dashcams right japan being the leading technology country in the 80s and having a severe amount of car enthusiasts and well south korea being well the main birth place of any technology centre and fab well at least a good portion in my mind i bought this one due to a recommendation from a friend of mine problem i have with it is quality related the gsensor broke not long after i bought the thing and started using it kinda unfortunate this creates an issue of the thing constantly making emergency recordings and in that mode you cant disable the screen from flashing so at night drives youll really get beamed in your faze and think someone put a flashlight up to your head nope its your f dashcam you can improve further the video quality for eg when experincing intense sun glare which is usually caused on these by using a ndfilter you just have to find your own way to mount them usually there is full filter clamping solutions because youll have to overshoot with the filter anyhow i didnt do this yet as i did not find it nessecary to do so but a big german dashcam clip compilation maker did recommend this in one of his dashcam review videos half a year ago or so name of the channel is eure videos fahrnünftig german amazon thieye cv3211 american market jansite nexigo d80 australian nz market volway,positive;;
in all fairness the viofo actually looks pretty great actually worth considering over the thinkware f70 if the budget isnt too tight,positive;;
when i went looking for a dashcam my main criteria was that it has a super cap instead of a battery cause i really dont think the batteries would handle the 20 to 30c temps in winter and the exact opposite in the summer along with however much the sun heats up the interior i know you can take them off but i kinda wanted an install and forget about it kind of system for actual performance its much better to just find someone elses footage cause the resolution and other specs are very misleading unless you really know your camera sensor specs,negative;;
i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,negative;;
ive been wanting to make this video for such a long time that royole display was just so hard to get hold of by holy cow was it worth it to check out my other ridiculous tech unboxings,negative;;
i love the fact that you put “thinnest rick roll” and “can you legally employ a cat” on the search history even if it flashed on the screen for a second you are one of the only creators that put 100 effort and detail into their content keep it up,positive;;
his search history “thinnest windows laptop” “thinnest keyboard” “world’s thinnest mouse” “thinnest charger” “is it legal to employ a cat” “can cats edit youtube videos” “thinnest rickroll in the world” “thinnest rick astley”,neutral;;
i’d say the coolest thing in this video is the desk pc saves room and it’s cool to see the desk but i wonder how much it cost and if it’s worth buying,positive;;
im just here to say thank you to him the generosity he has shown will forever be in my heart thanks for the perfect job,positive;;
